URL,Title,HTML5,Youtube,Static,Multi,Flash
https://homestuck.com/story/3679,[S] All: Behold glory of Zillyhoo.,0,1,0,0,1
https://homestuck.com/story/3695,[S] Seer: Descend.,0,1,0,0,1
https://homestuck.com/story/3696,[S] ==>,0,1,0,0,1
https://homestuck.com/story/3714,E1it.,0,1,0,0,1
https://homestuck.com/story/3717,[S] Terezi: Proceed.,0,1,0,0,1
https://homestuck.com/story/3718,[S] Terezi: Read note.,0,1,0,0,1
https://homestuck.com/story/3725,[S] Terezi: Play records.,1,0,0,0,0
https://homestuck.com/story/3730,[S] Terezi: Play tiny record.,0,1,0,0,1
https://homestuck.com/story/3743,Insert disc 2.,0,1,0,0,1
https://homestuck.com/story/3744,[S] Seer: Ascend.,0,1,0,0,1
https://homestuck.com/story/3760,[S] Flip.,0,1,0,0,1
https://homestuck.com/story/3761,=&gt; =,0,0,1,0,1
https://homestuck.com/story/3762,Q?ít??,0,1,0,1,0
https://homestuck.com/story/3851,[S][o] Tick. Tock.,1,0,0,0,0
https://homestuck.com/story/3860,[S][o] Tick. Tock. Tick...,1,0,0,0,0
https://homestuck.com/story/3874,[o] Feel free to e1amine the clippings while I tidy.,1,0,0,0,0
https://homestuck.com/story/3895,[o] Try to make sense of this mess yourself.,1,0,0,0,0
https://homestuck.com/story/3936,"[o] Oh, wonderful. Another interruption.",1,0,0,0,0
https://homestuck.com/story/3943,[o] ==>,0,0,1,0,1
https://homestuck.com/story/3952,[S][o] ==>,0,1,0,0,0
https://homestuck.com/story/3974,[o] ==>,1,0,0,0,0
https://homestuck.com/story/4002,[o] ==>,1,0,0,0,0
https://homestuck.com/story/4018,[o] ==>,0,0,1,0,1
https://homestuck.com/story/4019,[o] ==>,1,0,0,0,0
https://homestuck.com/story/4053,[o] ==>,0,0,1,0,1
https://homestuck.com/story/4084,Insert disc 2.,1,0,0,0,0
https://homestuck.com/story/4085,[S] Attempt rare and highly dangerous 51 SHOWDOWN COMBO.,0,1,0,0,1
https://homestuck.com/story/4099,==>,0,1,0,0,1
https://homestuck.com/story/4100,=>,1,0,0,0,0
https://homestuck.com/story/4109,[S] Cascade.,0,1,0,0,1
https://homestuck.com/story/4111,[S] Begin intermission 2.,0,1,0,0,1
https://homestuck.com/story/4113,[S] ACT 6,0,1,0,0,1
https://homestuck.com/story/4121,"Jake: Retrieve arms from floor, post-haste!",1,0,0,0,0
https://homestuck.com/story/4162,Jane: E1it.,1,0,0,0,0
https://homestuck.com/story/4194,Jake: E1it.,1,0,0,0,0
https://homestuck.com/story/4275,[S] ==>,0,1,0,0,1
https://homestuck.com/story/4282,[S] Jane: Get mail.,0,1,0,0,1
https://homestuck.com/story/4373,[S][A6I1] Karkat: Mental breakdown.,0,1,0,0,1
https://homestuck.com/story/4388,[A6I1] ==>,0,1,0,0,1
https://homestuck.com/story/4390,[S] END OF ACT 6 INTERMISSION 1,0,1,0,0,1
https://homestuck.com/story/4469,Dirk: Jut your ass and twitch like a proboscis.,1,0,0,0,0
https://homestuck.com/story/4485,Ro1y: Black out.,0,1,0,0,1
https://homestuck.com/story/4486,[S] Ro1y: Sleepwalk.,0,1,0,0,1
https://homestuck.com/story/4516,Ro1y: Descend.,1,0,0,0,0
https://homestuck.com/story/4541,[S] RAP-OFF!!!!!!!!!!,0,1,0,0,0
https://homestuck.com/story/4568,Dirk: E1it.,1,0,0,0,0
https://homestuck.com/story/4572,[S] Prince of Heart: Rise up.,0,1,0,0,1
https://homestuck.com/story/4617,[S] Frigglish: Fast forward to Jaspersprite.,0,1,0,0,1
https://homestuck.com/story/4665,[S] Jane: Enter.,0,1,0,0,1
https://homestuck.com/story/4815,[S][A6I2] ???,0,1,0,0,1
https://homestuck.com/story/4820,[S] ACT 6 ACT 3,0,1,0,0,1
https://homestuck.com/story/4825,[S] Jane: Proceed.,0,1,0,0,1
https://homestuck.com/story/4827,[S] Jane: Cautiously approach.,0,1,0,0,1
https://homestuck.com/story/4942,[S] DD: Ascend.,0,1,0,0,1
https://homestuck.com/story/4944,[S] DD: Ascend more casually.,0,1,0,0,1
https://homestuck.com/story/5027,[S] Terry: Fast forward to Liv.,0,1,0,0,1
https://homestuck.com/story/5030,UU: Defeat uu.,0,1,0,0,1
https://homestuck.com/story/5032,uu: Defeat UU.,0,1,0,0,1
https://homestuck.com/story/5034,Select character.,1,0,0,0,0
https://homestuck.com/story/5052,Select character.,1,0,0,0,0
https://homestuck.com/story/5070,Select character.,1,0,0,0,0
https://homestuck.com/story/5078,Select character.,1,0,0,0,0
https://homestuck.com/story/5084,Select character.,1,0,0,0,0
https://homestuck.com/story/5137,Select character.,1,0,0,0,0
https://homestuck.com/story/5203,I clicked on all those kids. Now what?,0,0,1,0,1
https://homestuck.com/story/5217,==>,0,0,1,0,1
https://homestuck.com/story/5236,==>,0,0,1,0,1
https://homestuck.com/story/5238,[S] Dirk: Synchronize.,0,1,0,0,1
https://homestuck.com/story/5239,==>,0,0,1,0,1
https://homestuck.com/story/5251,==>,0,0,1,0,1
https://homestuck.com/story/5252,[S] Dirk: Unite.,0,1,0,0,1
https://homestuck.com/story/5258,Sawtooth: Enter.,0,0,1,0,1
https://homestuck.com/story/5259,Squarewave: Enter.,0,0,1,0,1
https://homestuck.com/story/5260,"Jane, Dirk, Jake, Ro1y: Enter.",0,0,1,0,1
https://homestuck.com/story/5261,[S] Caliborn: Enter.,0,1,0,0,1
https://homestuck.com/story/5263,[S] ACT 6 INTERMISSION 3,0,0,0,0,0
https://homestuck.com/story/5308,[S][A6I3] ==>,0,0,0,0,0
https://homestuck.com/story/5368,[A6I3] ==>,0,1,0,0,1
https://homestuck.com/story/5373,[S][A6I3] ==>,0,1,0,0,1
https://homestuck.com/story/5374,[S][A6I3] ==>,0,1,0,0,1
https://homestuck.com/story/5375,[S][A6I3] ==>,0,1,0,0,1
https://homestuck.com/story/5376,[S][A6I3] ==>,0,1,0,0,1
https://homestuck.com/story/5377,[S][A6I3] ==>,0,1,0,0,1
https://homestuck.com/story/5398,[S][A6I3] ==>,0,0,0,0,0
https://homestuck.com/story/5427,[S][A6I3] MINISTRIFE!!!,0,1,0,0,1
https://homestuck.com/story/5438,[S] ACT 6 ACT 4,0,1,0,0,1
https://homestuck.com/story/5440,[S] ==>,0,1,0,0,1
https://homestuck.com/story/5471,[S][A6I4] ==>,0,1,0,0,1
https://homestuck.com/story/5472,[S][A6I4] ==>,0,1,0,0,1
https://homestuck.com/story/5473,[S][A6I4] ==>,0,1,0,0,1
https://homestuck.com/story/5474,[S][A6I4] ==>,0,1,0,0,1
https://homestuck.com/story/5485,[S][A6I4] ==>,0,1,0,0,1
https://homestuck.com/story/5494,[S!][A6I4] ==>,0,1,0,0,1
https://homestuck.com/story/5495,[!!!][A6I4] ==>,1,0,0,0,0
https://homestuck.com/story/5512,[S] ACT 6 ACT 5,0,1,0,0,1
https://homestuck.com/story/5655,[S] Ride.,0,1,0,0,1
https://homestuck.com/story/5711,[S] Jane: Engage.,0,1,0,0,1
https://homestuck.com/story/5712,[S] Jane: Blast off.,0,1,0,0,1
https://homestuck.com/story/5713,END OF ACT 6 ACT 5 ACT 1,0,0,1,0,1
https://homestuck.com/story/5714,[S] ACT 6 ACT 5 ACT 2,0,1,0,0,1
https://homestuck.com/story/5724,==>,0,1,0,0,1
https://homestuck.com/story/5726,[S] ==>,0,1,0,0,1
https://homestuck.com/story/5735,==>,0,0,1,0,1
https://homestuck.com/story/5736,==>,0,0,1,0,1
https://homestuck.com/story/5737,==>,0,0,1,0,1
https://homestuck.com/story/5740,[S] ==>,0,0,1,0,1
https://homestuck.com/story/5759,[S] ==>,0,1,0,0,1
https://homestuck.com/story/5763,[S] Tricksters: Alchemize.,0,1,0,0,1
https://homestuck.com/story/5764,[S] ==>,0,1,0,0,1
https://homestuck.com/story/5776,[S] WHEEEEEEEEEEE!,0,1,0,0,1
https://homestuck.com/story/5777,[S] HA HA HA! HE HE HE! HO HO HO!,0,1,0,0,1
https://homestuck.com/story/5780,[FUCK YOU!] ==>,1,0,0,0,0
https://homestuck.com/story/5787,[S] Caliborn + Gamzee: Engage.,0,1,0,0,1
https://homestuck.com/story/5981,[S][A6I5] BEGIN INTERFISHIN,0,1,0,0,1
https://homestuck.com/story/5997,[S][A6I5] ==>,0,1,0,0,1
https://homestuck.com/story/6031,[A6I5] ==>,0,0,1,0,1
https://homestuck.com/story/6046,[A6I5] ==>,0,0,1,0,1
https://homestuck.com/story/6066,[S] END OF ACT 6 INTERMISSION 5 INTERMISSION 4,0,1,0,0,1
https://homestuck.com/story/6073,[S][A6I5] ==>,0,1,0,0,1
https://homestuck.com/story/6140,[A6I5] SS: Everybody in.,0,0,1,0,1
https://homestuck.com/story/6204,[A6I5I6] ==>,0,0,1,0,1
https://homestuck.com/story/6205,[A6I5I6] ==>,1,0,0,0,0
https://homestuck.com/story/6231,[S][A6I5] ==>,0,1,0,0,1
https://homestuck.com/story/6237,==>,0,0,1,0,1
https://homestuck.com/story/6238,==>,0,0,1,0,1
https://homestuck.com/story/6239,Insert disc three.,0,0,1,0,1
https://homestuck.com/story/6240,==>,0,0,1,0,1
https://homestuck.com/story/6243,[S] ACT 6 ACT 6,1,0,0,0,0
https://homestuck.com/story/6278,[S] ACT 6 ACT 6 INTERMISSION 1,1,0,0,0,0
https://homestuck.com/story/6279,[A6A6I1] ====>,1,0,0,0,0
https://homestuck.com/story/6284,[A6A6I1] ====>,1,0,0,0,0
https://homestuck.com/story/6299,[A6A6I1] ====>,1,0,0,0,0
https://homestuck.com/story/6382,[A6A6I1] ====>,1,0,0,0,0
https://homestuck.com/story/6397,[A6A6I1] ====>,1,0,0,0,0
https://homestuck.com/story/6400,[S][A6A6I1] ====>,1,0,0,0,0
https://homestuck.com/story/6401,[A6A6I1] ====>,1,0,0,0,0
https://homestuck.com/story/6405,[A6A6I1] ====>,1,0,0,0,0
https://homestuck.com/story/6416,[A6A6I1] ====>,1,0,0,0,0
https://homestuck.com/story/6552,[S][A6A6I2] ====>,0,1,0,0,1
https://homestuck.com/story/6652,[S][A6A6I2] ====>,1,0,0,0,0
https://homestuck.com/story/6901,[S] GAME OVER.,0,1,0,0,1
https://homestuck.com/story/6920,[A6A6I3] ====>,0,1,0,0,1
https://homestuck.com/story/6943,"[S] BYE FOREVER, ALMOST.",0,1,0,0,1
https://homestuck.com/story/7086,[S][A6A6I4] ====>,1,0,0,0,0
https://homestuck.com/story/7098,[S][A6A6I4] ====>,0,1,0,0,1
https://homestuck.com/story/7100,[S][A6A6I4] ====>,1,1,0,0,1
https://homestuck.com/story/7101,[S][A6A6I4] ====>,1,1,0,0,1
https://homestuck.com/story/7125,[A6A6I4] ====>,0,1,0,0,1
https://homestuck.com/story/7405,[S][A6A6I4] ====>,0,1,0,0,1
https://homestuck.com/story/7408,[A6A6I4] ====>,0,1,0,0,1
https://homestuck.com/story/7409,[S] ACT 6 ACT 6 ACT 5,0,0,1,0,1
https://homestuck.com/story/7410,AH. SO NICE OF YOU TO JOIN ME.,0,0,1,0,1
https://homestuck.com/story/7411,MY MASTERPIECE!,0,0,1,0,1
https://homestuck.com/story/7412,LET US BEGIN.,0,0,1,0,1
https://homestuck.com/story/7413,SO I WILL SHOW YOU WHAT I SAW.,0,0,1,0,1
https://homestuck.com/story/7414,AH YES. MOVIE MAGIC AT ITS BEST.,0,0,1,0,1
https://homestuck.com/story/7415,"ALSO, LOOK CLOSELY.",0,0,1,0,1
https://homestuck.com/story/7416,ONE MORE BANNER PIECE OF SWAG IN MY POSSESSION.,0,0,1,0,1
https://homestuck.com/story/7417,HERE I AM LORDING IT OVER MY MINIONS.,0,0,1,0,1
https://homestuck.com/story/7418,WHEN SUDDENLY.,0,0,1,0,1
https://homestuck.com/story/7419,BUT THEN.,0,0,1,0,1
https://homestuck.com/story/7420,"THEY ARE ALL FRISKY, AND READY TO FIGHT.",0,0,1,0,1
https://homestuck.com/story/7421,LIKE I SAID. I HAVE A SUPERIOR WEAPON.,0,0,1,0,1
https://homestuck.com/story/7422,AND RULES AND STUFF.,0,0,1,0,1
https://homestuck.com/story/7423,"AND JUST LIKE THAT, THEY WERE GONE.",0,0,1,0,1
https://homestuck.com/story/7424,IT BECAME MYSTERIOUSLY INTANGIBLE.,0,0,1,0,1
https://homestuck.com/story/7425,SO IN THE BLINK OF AN EYE.,0,0,1,0,1
https://homestuck.com/story/7426,I SHOULD ALSO RELEVANTLY MENTION.,0,0,1,0,1
https://homestuck.com/story/7427,NOW IS WHEN THE PUMMELING BEGINS.,0,0,1,0,1
https://homestuck.com/story/7428,I'M MOSTLY TOYING WITH THEM THOUGH.,0,0,1,0,1
https://homestuck.com/story/7429,SO.,0,0,1,0,1
https://homestuck.com/story/7430,"I'M RUINING THEM, REALLY.",0,0,1,0,1
https://homestuck.com/story/7431,IT WAS A PRETTY GOOD FIGHT BETWEEN US.,0,0,1,0,1
https://homestuck.com/story/7432,"MY OVERCONFIDENCE, WAS MY ACHILLES DOWNFALL THOUGH.",0,0,1,0,1
https://homestuck.com/story/7433,AND BY UPSET.,0,0,1,0,1
https://homestuck.com/story/7434,THE HOPE... MY GOD.,0,0,1,0,1
https://homestuck.com/story/7435,"WELL, MY SECOND MAYBE.",0,0,1,0,1
https://homestuck.com/story/7436,IT SEEMS THAT HOPE POWER IS OVERWHELMING.,0,0,1,0,1
https://homestuck.com/story/7437,I GET DUNKED AS FUCK.,0,0,1,0,1
https://homestuck.com/story/7438,"MEANWHILE, STRIDER REGROUPS FROM HIS TROUNCING.",0,0,1,0,1
https://homestuck.com/story/7439,SO I GET UP. AND...,0,0,1,0,1
https://homestuck.com/story/7440,SO BASICALLY.,0,0,1,0,1
https://homestuck.com/story/7441,THE SWEATY MUSCULAR GHOST APPEARS OUT OF NOWHERE.,0,0,1,0,1
https://homestuck.com/story/7442,THIS GIVES DIRK JUST THE TIME HE NEEDS.,0,0,1,0,1
